      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         127.12              3         316.45
         317.80              5         261.01
         211.87              4         403.70
          63.56              2         323.27
         127.12              3         426.06
         317.80              5         281.20
          21.19              1         276.33
         317.80              5         202.82
          21.19              1         295.70
         127.12              3         200.01
         127.12              3         139.98
          21.19              1         296.94
         762.73              8         317.82
         317.80              5         205.07
         211.87              4         241.89
          21.19              1         339.22
          63.56              2         421.66
         211.87              4         233.39
         127.12              3         141.46
         211.87              4         139.17
         127.12              3         313.26
          21.19              1         130.12
         127.12              3         586.33
          21.19              1         185.69
         211.87              4         255.60
          63.56              2         217.40
          63.56              2         255.74
         127.12              3         323.37
         127.12              3         176.05
         211.87              4         260.61
          63.56              2         218.40
         127.12              3         282.07
         444.92              6         218.82
          21.19              1         123.12
         127.12              3         302.02
         211.87              4         283.52
         444.92              6         371.14
         211.87              4         187.73
         127.12              3         519.73
         211.87              4         253.69
         211.87              4         357.65
         211.87              4         279.47
         317.80              5         441.07
          63.56              2         205.25
         317.80              5         343.02
         762.73              8         299.56
          63.56              2         230.86
           0.00              0         288.13
         444.92              6         183.35
         127.12              3         262.09
         127.12              3         437.92
         317.80              5         321.54
         444.92              6         223.68
         127.12              3         342.07
         444.92              6         184.57
         444.92              6         261.63
         211.87              4         221.52
         317.80              5         404.37
         317.80              5         197.66
         127.12              3         317.55
         444.92              6         275.57
         444.92              6         435.71
         444.92              6         146.85
         127.12              3         144.96
         444.92              6         163.40
          63.56              2         137.87
         127.12              3         300.98
         127.12              3         180.74
         444.92              6         324.97
         211.87              4         506.82
         317.80              5         336.11
         211.87              4         302.38
          63.56              2         508.11
         317.80              5         449.90
         127.12              3         210.78
         444.92              6         134.34
         444.92              6         385.29
          21.19              1         354.07
          63.56              2         405.95
          21.19              1         402.76
         444.92              6         118.07
         127.12              3         250.87
         127.12              3         433.21
         444.92              6         264.36
         127.12              3         399.04
         444.92              6         298.28
         317.80              5         216.22
         211.87              4         319.98
           0.00              0         149.41
         127.12              3         399.55
         211.87              4         390.93
         211.87              4         431.19
         127.12              3         202.82
          63.56              2         193.95
         317.80              5         357.35
         211.87              4         205.12
         444.92              6         193.44
         317.80              5         166.21
         317.80              5         176.88
         211.87              4         175.27
         127.12              3         190.35
         593.23              7         103.69
         317.80              5         354.93
         211.87              4         223.07
         127.12              3         312.18
          21.19              1         271.21
          21.19              1         391.91
         211.87              4         276.93
         127.12              3         183.13
          21.19              1         260.03
         762.73              8         310.33
         593.23              7         272.93
         444.92              6         277.98
          21.19              1         459.90
         127.12              3         200.14
           0.00              0         206.04
         211.87              4         321.29
         127.12              3         345.92
         444.92              6         322.86
         317.80              5         209.91
         127.12              3         318.77
         211.87              4         519.19
         127.12              3         327.78
         127.12              3         183.03
         127.12              3         203.59
         127.12              3         250.06
          63.56              2         292.81
         317.80              5         142.22
         211.87              4         157.93
           0.00              0         237.93
         211.87              4         328.66
         127.12              3         265.09
         211.87              4         186.60
         444.92              6         206.89
         593.23              7         242.73
         317.80              5         270.18
         127.12              3         264.12
         127.12              3         396.62
         444.92              6         409.73
          63.56              2         219.91
         211.87              4         115.10
         211.87              4         316.91
         127.12              3         143.70
         211.87              4         182.74
          21.19              1         457.38
          21.19              1         369.40
         317.80              5         309.05
          63.56              2         105.34
         211.87              4         179.47
         127.12              3         127.67
          63.56              2         158.55
         317.80              5         177.56
          21.19              1         368.77
         444.92              6         269.23
          21.19              1         394.33
         211.87              4         313.79
          21.19              1         360.36
          21.19              1         156.77
         211.87              4         400.69
         127.12              3         336.01
         317.80              5         298.26
         211.87              4         370.40
         211.87              4         147.43
         593.23              7         326.80
          21.19              1         295.34
          21.19              1         488.48
         127.12              3         579.34
          63.56              2         105.47
         444.92              6         247.65
         127.12              3         396.27
         211.87              4         329.06
         444.92              6         174.84
         127.12              3         301.84
         127.12              3         225.64
         317.80              5         113.51
         127.12              3         194.30
         444.92              6         288.15
         317.80              5         271.15
          63.56              2         437.40
         593.23              7         320.21
         211.87              4         370.70
         211.87              4         181.53
         593.23              7         165.69
         593.23              7         265.80
         127.12              3         194.62
         953.41              9         276.16
         317.80              5         288.74
         127.12              3         109.79
         127.12              3         274.20
          63.56              2         264.46
         317.80              5         270.02
         211.87              4         151.37
          63.56              2         255.48
          21.19              1         325.68
         317.80              5         282.18
         953.41              9         278.81
          63.56              2         257.21
         211.87              4         171.44
         211.87              4         250.65
         444.92              6         155.44
         127.12              3         224.63
          21.19              1         145.43
          21.19              1         351.22
         211.87              4         501.10
         211.87              4         136.22
          63.56              2         224.78
         211.87              4         209.54
         317.80              5         248.25
          63.56              2         205.22
         211.87              4         418.94
          63.56              2         329.20
         317.80              5         535.79
         762.73              8         209.00
          63.56              2         195.75
         444.92              6         212.98
          21.19              1         150.40
         762.73              8         277.57
         211.87              4         354.47
         444.92              6         197.42
         444.92              6         280.02
          21.19              1         305.65
          63.56              2         224.51
         211.87              4         264.09
          63.56              2         404.50
         317.80              5         247.13
         127.12              3         399.56
          63.56              2         491.83
         762.73              8         110.72
          21.19              1         265.10
           0.00              0         165.79
          63.56              2         415.72
         127.12              3         163.22
         211.87              4         546.74
          21.19              1         268.62
          63.56              2         278.32
         211.87              4         105.38
         211.87              4         197.61
         127.12              3         495.88
          21.19              1          85.29
         127.12              3         286.10
          63.56              2         246.64
          21.19              1         421.21
         317.80              5         220.38
         211.87              4         288.96
         211.87              4         297.23
           0.00              0         336.75
           0.00              0         372.88
          63.56              2         123.18
         211.87              4         214.55
          21.19              1         382.28
         762.73              8         235.64
         127.12              3         508.68
         127.12              3         469.10
         444.92              6         263.84
         317.80              5         288.52
         593.23              7         209.64
         317.80              5         125.89
         211.87              4         332.43
         317.80              5         271.44
         127.12              3         526.14
         127.12              3         292.32
          63.56              2         119.08
          21.19              1         130.64
          21.19              1         465.93
          63.56              2         506.09
         317.80              5         313.31
         317.80              5         218.90
         211.87              4         267.43
         211.87              4         301.84
          21.19              1         242.12
         211.87              4         318.83
          21.19              1         297.23
         444.92              6         171.29
         127.12              3         356.92
         593.23              7         258.88
         317.80              5         346.34
         127.12              3         521.59
          63.56              2         142.42
         211.87              4         137.79
         127.12              3         218.10
         211.87              4         214.31
         127.12              3         374.35
         593.23              7         140.47
         444.92              6         204.05
          21.19              1         435.22
          21.19              1         276.36
         444.92              6         397.54
          21.19              1         335.00
          63.56              2         271.66
         127.12              3         268.17
         211.87              4         116.53
         444.92              6         446.25
         317.80              5         223.48
         127.12              3         296.77
         211.87              4         148.16
          21.19              1         191.50
         317.80              5         435.47
         127.12              3         249.25
         127.12              3         135.55
           0.00              0         395.19
         127.12              3         271.27
         127.12              3         390.18
         444.92              6         203.66
          63.56              2         118.15
         317.80              5         183.30
         317.80              5         347.66
          63.56              2         550.58
         127.12              3         172.46
         127.12              3         276.30
         211.87              4         177.74
          63.56              2         245.38
          21.19              1         304.35
          63.56              2         493.87
          21.19              1         562.56
         317.80              5         212.38
          21.19              1         292.40
         211.87              4         582.22
          63.56              2         159.32
         211.87              4         193.52
         211.87              4         294.77
         127.12              3         496.15
          21.19              1         457.15
         317.80              5         198.23
          21.19              1         152.72
