      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          63.56              2         286.92
         762.73              8         414.67
         317.80              5         218.65
          21.19              1         167.19
         211.87              4         156.20
           0.00              0         200.56
         211.87              4         513.10
         127.12              3         532.88
          63.56              2         216.98
         593.23              7         295.72
           0.00              0         497.66
         211.87              4         235.44
          21.19              1         223.94
          21.19              1         213.79
          63.56              2         198.51
         317.80              5         367.77
         127.12              3         428.37
         211.87              4         411.40
          63.56              2         284.16
         127.12              3         284.26
          63.56              2         189.92
         444.92              6         191.29
         317.80              5         439.80
         317.80              5         143.27
         593.23              7         302.49
        1165.28             10         181.93
         762.73              8         498.13
          21.19              1         496.99
         211.87              4         279.95
         317.80              5         458.83
         211.87              4         250.16
         762.73              8         132.70
          63.56              2         136.01
          21.19              1         140.69
         444.92              6         313.53
          63.56              2         234.26
         317.80              5         216.16
         317.80              5         354.49
         593.23              7         204.27
          21.19              1         207.54
         593.23              7         264.63
         211.87              4         199.00
         211.87              4         315.27
          21.19              1         171.52
         444.92              6         191.81
         211.87              4         524.80
         127.12              3         266.59
         762.73              8         194.64
         127.12              3         246.73
         317.80              5         209.74
          21.19              1         273.29
         444.92              6         250.80
         127.12              3         166.81
          63.56              2         402.52
         211.87              4         399.58
         127.12              3         459.95
         211.87              4         242.26
         317.80              5         457.88
         762.73              8         194.78
         127.12              3         298.01
         211.87              4         199.55
         593.23              7         243.28
         762.73              8         147.05
         211.87              4         343.79
          21.19              1         259.07
         762.73              8         100.37
          21.19              1         120.42
         444.92              6         480.86
         211.87              4         228.05
          63.56              2         347.63
         211.87              4         455.39
         127.12              3         289.77
         762.73              8         197.63
         211.87              4         351.43
          63.56              2         272.27
          21.19              1         196.72
         762.73              8         319.58
        1165.28             10         180.30
         211.87              4         202.55
         127.12              3         350.43
         211.87              4         329.28
         317.80              5         254.24
         444.92              6         423.74
          63.56              2         385.28
          63.56              2         305.47
          63.56              2         272.29
          63.56              2         578.38
         444.92              6         243.20
          63.56              2         124.58
         593.23              7         337.76
         317.80              5         261.15
         593.23              7         172.45
         127.12              3         421.93
         127.12              3         348.44
         762.73              8         339.96
         762.73              8          83.87
          63.56              2         451.03
          63.56              2         431.80
         211.87              4         513.43
           0.00              0         321.02
         444.92              6         163.32
         444.92              6         411.18
          21.19              1         140.00
         593.23              7         269.11
         127.12              3         192.49
         444.92              6         224.82
         444.92              6         218.76
         127.12              3         493.47
          21.19              1         248.52
         317.80              5         264.33
         317.80              5         314.53
         127.12              3         318.70
         211.87              4         421.24
         211.87              4         312.16
          63.56              2         504.84
          63.56              2         260.05
         127.12              3         264.57
         127.12              3         298.91
         444.92              6         335.70
          21.19              1         402.67
          63.56              2         354.95
         211.87              4         302.83
         127.12              3         281.03
         211.87              4         163.96
         444.92              6         261.52
         211.87              4         292.27
         127.12              3         581.81
         317.80              5         263.06
         211.87              4         434.06
         127.12              3         261.86
         211.87              4         530.29
         444.92              6         148.61
         317.80              5         424.60
         211.87              4         181.63
         211.87              4         407.83
         211.87              4         299.80
          21.19              1         373.67
         444.92              6         217.25
         444.92              6         261.45
         317.80              5         272.51
           0.00              0         218.21
         211.87              4         339.39
         317.80              5         191.64
         593.23              7         504.31
         317.80              5         256.57
         317.80              5         417.85
          63.56              2         360.33
           0.00              0         358.39
         127.12              3         268.33
         127.12              3         498.65
         593.23              7         391.93
          21.19              1         215.76
         127.12              3         206.62
          63.56              2         398.80
