      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          63.56              2         163.46
           0.00              0         409.34
         127.12              3         593.81
         211.87              4         208.68
         211.87              4         386.14
         211.87              4         244.65
         127.12              3         267.98
         127.12              3         413.97
         211.87              4         195.67
         317.80              5          82.75
          63.56              2         234.14
         444.92              6         357.99
         211.87              4         421.86
         593.23              7         242.79
         127.12              3         167.09
         317.80              5         279.00
         127.12              3         273.50
          21.19              1         274.18
         211.87              4         424.79
         211.87              4         332.91
         593.23              7         375.81
         127.12              3         388.11
         317.80              5         343.22
         211.87              4         450.95
          21.19              1         211.79
          63.56              2         298.77
         444.92              6         201.60
          21.19              1         130.46
          63.56              2         222.39
         444.92              6         525.73
         127.12              3         334.40
         211.87              4         352.85
          63.56              2         190.87
         317.80              5         151.42
         317.80              5         393.43
          21.19              1         342.38
         127.12              3         181.90
          21.19              1         232.70
          21.19              1         206.81
          63.56              2         471.89
         317.80              5         153.24
         127.12              3          81.72
         127.12              3         327.49
         127.12              3         354.39
         127.12              3         317.94
         127.12              3         409.67
         593.23              7         299.96
         211.87              4         235.22
         211.87              4         158.39
          63.56              2         387.61
         593.23              7         204.08
         317.80              5         241.92
         211.87              4         333.45
          63.56              2         211.39
         444.92              6         171.32
         211.87              4         146.25
          63.56              2         232.54
          63.56              2         200.93
         317.80              5         457.14
         211.87              4         318.85
