 # Soft ZPE restriction, Energy (cm-1), speed (m/s)
 #Water ZPE (DMC): 4713.0629051, HWW ZPE (DMC): 12528.93462455
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) - E_COM,E_COM=0
 
   #Erot(W)cm-1    #Speed(m/s)
         137.17         139.23
          93.23         626.12
         255.21         459.00
         194.21         180.93
          90.93         425.34
          70.32         227.26
         230.93         364.39
          59.24         372.80
         106.94         258.28
         110.81         395.51
         179.19         414.66
          57.96         492.11
         424.33         286.53
         277.29         362.46
          16.43         413.80
         300.44         322.10
          86.74         470.21
         177.98         287.50
         287.88         545.07
         207.08         229.81
         242.63         399.00
         198.14         471.33
         445.04         294.72
         133.81         510.83
         123.69         482.45
         241.82          45.74
         157.94         425.88
         149.37         173.02
         111.04         578.81
         506.20         218.52
          81.97         630.78
         270.85         239.87
         164.03         303.94
         112.16         331.75
         184.44         528.71
           4.79         208.13
          78.17         453.76
         444.63         376.26
          89.49         307.69
         238.10         415.22
          29.53         430.53
         122.96         540.50
          61.11         648.18
          41.25         242.68
         261.05         489.13
         130.15         185.24
         255.03         398.27
          23.38         235.20
         351.69         441.34
          96.94         242.53
         383.46         211.21
         138.89         696.05
         202.55         535.80
         124.63         580.19
         295.01         208.44
         352.53         244.67
         113.92         552.79
          45.98         643.36
         183.67         471.26
         240.16         410.26
         120.69         342.13
         116.43         347.69
