      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         109.40              2         555.55
         459.40              6         394.87
         323.00              4         573.22
         153.58              3         221.91
          71.15              2         583.06
         336.83              6         523.79
         506.97              6         390.22
         113.66              2         617.33
         252.45              4         309.16
         193.95              3         215.61
         554.66              5         304.15
         526.76              5         454.80
         232.91              4         445.27
         354.34              3         168.79
         283.67              4         652.62
         302.46              5         215.23
         295.26              5         513.03
         478.09              6         407.80
          13.03              1         358.62
          80.71              2         673.44
         375.45              4         459.37
         278.23              4         273.19
         167.84              3         382.91
          28.46              1         406.99
          22.42              1         676.92
          34.47              1         418.98
         291.29              4         553.65
          32.43              1         338.91
         602.92              6         519.55
         170.42              3         655.57
         276.72              4         137.77
           8.70              0         582.01
         460.63              6         277.12
          33.86              1         598.92
          67.85              2         181.87
         365.10              3         213.66
         243.97              4         635.27
         600.28              7         446.99
         616.24              6         478.80
         319.33              4         426.27
         317.03              5         454.77
          84.59              3         267.43
         224.16              4         558.27
         167.65              3         488.10
         897.75              7         338.01
         464.68              7         232.20
         147.67              3         156.02
         409.88              6         478.38
         340.64              5         245.23
         137.13              3         256.70
         709.72              6         515.14
         740.35              6         261.24
         123.83              2         228.26
         272.31              4         124.40
         247.57              3         467.91
         172.47              3         472.04
         217.99              4         802.24
          75.48              2         282.80
         129.70              2         465.73
         453.44              5         381.74
         577.45              5         352.40
         184.63              4         389.58
         469.49              6         407.47
         422.27              6         404.54
         256.47              4         243.56
         287.67              4         293.39
         507.68              3         253.39
         218.05              3         491.69
          11.54              1         459.55
         332.30              4         240.78
         396.74              6         501.58
         523.77              6         472.59
         271.99              4         145.25
         631.36              7         419.68
         413.36              6         320.66
         389.42              6         409.72
          42.02              1         328.05
          28.07              1         501.81
         228.83              4         370.84
          59.23              2         673.53
         610.46              4         428.97
         214.29              4         675.49
          60.19              2         622.93
         340.46              4         556.49
         176.64              3         425.84
         384.98              4         393.46
         329.47              5         109.23
         336.38              4         448.35
         705.45              8         344.69
         422.23              4         362.16
          71.67              2         253.97
         419.90              6         544.25
         156.44              3         722.76
         136.13              3         669.84
         337.80              4         493.48
          95.82              2         672.34
         255.83              3         551.61
         151.25              3         466.78
         463.67              5         579.25
         396.89              5         435.16
         317.10              4         561.98
          77.47              2         418.55
         513.57              6         325.16
         457.73              5         352.50
         103.01              2         925.64
         327.51              5         355.39
          92.13              3         747.79
         123.97              3         585.90
          50.83              1         432.29
          81.77              2         671.91
         192.60              2         768.62
         583.96              7         263.74
         253.64              4         485.06
         183.27              4         805.57
         430.53              4         277.60
          68.37              1         532.47
         526.49              7         523.63
         106.20              2         416.65
         109.29              2         506.39
          49.80              1         705.62
         168.82              3         354.60
         170.43              2         567.44
         404.54              4         408.63
         483.05              5         177.45
         553.18              5         429.38
         749.56              8         326.35
         692.85              4         112.39
         291.11              5         481.50
         573.75              5         372.73
          76.70              1         484.42
          63.17              2         822.17
         351.88              5         403.72
          71.88              3         605.87
         305.97              4         394.03
         297.21              4         180.15
         196.00              3         664.84
         276.14              5         346.39
         325.42              4         388.42
         117.77              3         393.13
         449.25              6         189.63
         131.34              4         357.04
         210.33              3         164.12
         311.33              5         356.16
         217.86              3         755.21
         557.84              6         226.49
         475.94              4         360.23
          13.05              1         361.05
         146.90              3         544.82
         104.84              3         316.04
         171.61              4         658.76
         193.69              3         423.01
         535.10              7         169.72
         161.56              3         227.17
         191.15              3         185.98
         227.08              3         583.04
         287.88              5         388.51
         141.47              3         685.51
          72.64              2         515.20
         244.90              5         420.36
         121.05              2         700.08
         384.54              4         319.07
         202.60              3         280.94
         136.12              3         267.30
         475.67              5         165.89
         142.66              2         293.04
           5.96              0         230.34
         312.67              3         378.86
         165.33              2         759.28
         196.96              4         418.41
          73.51              2         821.21
         255.17              3         392.81
         315.63              3         398.48
         299.43              4         334.69
         294.66              4         460.29
          56.60              1         731.20
         359.68              5         521.67
          51.10              2         697.57
         308.08              3         396.93
         261.85              5         244.69
         253.70              3         209.55
         593.47              7         331.86
         225.70              3         608.85
         296.63              4         600.07
         176.43              4         278.99
          41.54              1         490.30
         159.45              3         566.48
         152.41              2         339.16
         184.71              3         605.97
         266.69              3         637.66
         262.01              4         502.15
         242.18              3         779.12
         564.98              5         562.76
         312.94              4         380.18
          50.08              1         665.28
         274.42              4         489.37
         310.76              5         153.91
         272.01              4         262.30
          64.48              1         476.08
         377.28              6         530.75
          39.33              1         363.27
         298.53              4         323.20
         562.13              5         511.48
          90.76              2         703.02
         180.36              4         216.35
         415.76              5         337.20
         110.19              2         470.88
         355.88              3         438.47
         297.87              4         447.02
         268.76              3         326.38
          21.37              1         429.21
         581.23              4         353.90
         330.67              4         395.60
         489.87              7         203.80
         337.66              5         779.69
         329.82              3         263.90
         400.97              5         220.36
         409.24              4         363.76
         161.64              3         644.53
         351.45              5         334.96
         434.75              4         391.77
         218.92              4         250.32
