   #Hard on HCl         #J all              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         130.84              3         419.52
         249.86              4         306.66
          55.25              2         207.85
          75.97              2         178.35
         721.26              8         437.30
         871.81              9         446.02
         401.49              5         287.08
          85.33              2         283.54
         680.62              8         754.17
         184.96              4         308.81
         227.94              4         296.66
          36.66              2         289.59
         564.16              8         546.51
        1328.28             12         195.96
         190.09              4         115.51
         242.06              4         748.57
         248.85              4         209.92
         106.34              3         301.42
          11.49              1         504.21
          48.51              2         403.04
         162.16              4         492.40
         565.32              6         462.68
         363.15              6         188.63
         189.99              4         274.25
         101.01              3         423.22
         425.56              5         437.83
         468.79              6         114.49
          67.23              2         432.82
          83.78              3         301.01
          58.95              2         143.43
         401.40              5         385.16
         200.55              4         430.00
         102.40              3         528.37
         294.72              4         297.20
          23.98              1         236.92
         576.02              8         351.41
          32.73              1         462.20
         411.36              6         276.87
         965.73             10         480.93
         596.86              6         378.92
         109.22              3         239.93
         106.67              3         179.38
          60.94              2         488.33
         182.82              4         444.83
          60.81              2         614.76
         432.87              7         358.11
         325.54              4         324.94
         490.49              7         265.11
           5.57              0         431.04
         133.51              3         292.51
         134.85              3         212.16
         515.48              7         275.06
         648.39              8         429.30
         231.94              4         521.30
         987.22             10         445.74
         154.03              3         275.00
         302.26              5         216.00
         606.48              6         387.19
         226.47              5         406.24
        1699.70             11         366.31
         423.34              6         209.30
          60.33              2         213.21
         581.41              7         203.05
          70.41              2         276.51
          63.22              2         217.45
         357.71              6         312.56
         522.45              6         471.77
         115.50              3         392.34
         382.94              5         294.24
         710.02              9         184.78
         582.84              7         371.40
          69.92              2         432.14
         347.74              5         437.00
         511.08              6         572.84
         188.23              3         273.66
         157.32              3         374.57
         150.64              3         157.18
         269.06              5         444.82
         184.88              3         334.12
         251.37              4         179.27
         330.30              6         312.44
         378.66              6         313.46
         421.06              6         500.30
         262.63              5         250.26
          95.06              3         261.76
         384.15              5         392.34
         669.38              8         472.37
         216.15              4         195.74
         495.91              7         267.86
          35.35              2         251.08
         270.86              4         191.41
           7.72              0         552.10
         208.35              4         199.45
         278.55              5         158.41
          25.04              1         391.72
         600.03              7         271.07
         193.50              4         151.23
          80.85              2         265.22
         547.33              7         506.63
         104.82              3         290.76
           9.64              0         246.65
         312.59              5         427.76
         140.47              3         451.45
         363.44              6         366.76
          41.06              2         210.76
          78.11              2         407.81
         333.47              6         198.35
         487.15              7         581.10
          74.08              2         124.46
         258.87              5         523.02
          34.18              1         138.13
         295.48              5         424.20
         108.28              2         281.06
         244.96              5         255.38
          37.45              2         393.58
         109.58              2         487.24
